Age,Gender,Education Level,Job Title,Years of Experience,Salary,Salary_lpa
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
27,Male,,Developer,7,100000,12
31,Female,Bachelor's Degree,Front end Developer,6,110000,13.2
37,Male,Master's Degree,Software Engineer Manager,10,150000,18
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
50,Male,PhD,Senior Project Engineer,18,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
31,Male,Master's Degree,Software Engineer Manager,8,130000,15.6
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
43,Male,PhD,Senior Project Engineer,15,180000,21.6
35,Female,Master's Degree,Full Stack Engineer,8,140000,16.8
42,Male,Bachelor's Degree,Software Engineer Manager,12,160000,19.2
28,Female,Bachelor's Degree,Front end Developer,2,55000,6.6
44,Female,PhD,Senior Project Engineer,16,190000,22.8
32,Male,Master's Degree,Back end Developer,7,120000,14.4
48,Male,PhD,Software Engineer Manager,18,200000,24
30,Female,Bachelor's Degree,Full Stack Engineer,5,100000,12
34,Male,Master's Degree,Front end Developer,9,150000,18
37,Female,Bachelor's Degree,Software Engineer Manager,11,170000,20.4
26,Male,Bachelor's Degree,Back end Developer,2,65000,7.8
49,Female,PhD,Senior Project Engineer,19,210000,25.2
29,Male,Bachelor's Degree,Full Stack Engineer,4,90000,10.8
41,Male,Master's Degree,Software Engineer Manager,14,180000,21.6
31,Female,Bachelor's Degree,Front end Developer,6,110000,13.2
37,Male,Master's Degree,Software Engineer Manager,10,150000,18
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
50,Male,PhD,Senior Project Engineer,18,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Female,PhD,Senior Project Engineer,16,185000,22.2
33,Male,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Male,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Software Engineer Manager,20,210000,25.2
31,Male,Bachelor's Degree,Back end Developer,6,95000,11.4
39,Female,Master's Degree,Software Engineer Manager,11,170000,20.4
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
44,Female,PhD,Senior Project Engineer,16,190000,22.8
32,Male,Master's Degree,Back end Developer,7,120000,14.4
48,Male,PhD,Software Engineer Manager,19,200000,24
30,Female,Bachelor's Degree,Full Stack Engineer,5,100000,12
34,Male,Master's Degree,Front end Developer,9,150000,18
37,Female,Bachelor's Degree,Software Engineer Manager,11,170000,20.4
26,Male,Bachelor's Degree,Back end Developer,2,65000,7.8
49,Female,PhD,Senior Project Engineer,19,210000,25.2
29,Male,Bachelor's Degree,Full Stack Engineer,4,90000,10.8
41,Male,Master's Degree,Software Engineer Manager,14,180000,21.6
31,Female,Bachelor's Degree,Front end Developer,6,110000,13.2
37,Male,Master's Degree,Software Engineer Manager,10,150000,18
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
50,Male,PhD,Senior Project Engineer,18,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
46,Male,PhD,Software Engineer Manager,16,185000,22.2
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,15.6
30,Female,Master's Degree,Front end Developer,5,105000,12.6
50,Male,PhD,Senior Project Engineer,19,200000,24
30,Male,Bachelor's Degree,Back end Developer,5,100000,12
42,Male,Master's Degree,Software Engineer Manager,13,170000,20.4
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,13.8
45,Male,PhD,Senior Project Engineer,16,185000,22.2
29,Female,Bachelor's Degree,Front end Developer,4,90000,10.8
39,Female,Master's Degree,Software Engineer Manager,12,160000,19.2
27,Male,Bachelor's Degree,Back end Developer,3,80000,9.6
49,Male,PhD,Senior Project Engineer,17,195000,23.4
32,Female,Master's Degree,Full Stack Engineer,6,115000,13.8
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,16.2
27,Male,Bachelor's Degree,Front end Developer,2,65000,7.8
43,Female,PhD,Senior Project Engineer,14,190000,22.8
34,Male,Master's Degree,Back end Developer,8,140000,16.8
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
33,Female,Master's Degree,Data Analyst,7,95000,11.4
22,Male,Bachelor's Degree,Front End Developer,1,50000,6
44,Male,PhD,Senior Data Scientist,15,180000,21.6
29,Female,Bachelor's Degree,Software Developer,3,65000,7.8
31,Male,Master's Degree,Product Manager,6,120000,14.4
25,Female,Master's Degree,Software Engineer,2,60000,7.2
38,Male,Bachelor's Degree,Data Scientist,10,150000,18
27,Male,Bachelor's Degree,Software Engineer,3,70000,8.4
46,Female,PhD,Director of Data Science,20,220000,26.4
33,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
32,Male,Master's Degree,Product Manager,7,110000,13.2
25,Female,Master's Degree,Software Engineer,2,60000,7.2
37,Male,Bachelor's Degree,Data Analyst,11,160000,19.2
28,Male,Bachelor's Degree,Software Engineer,4,75000,9
41,Female,PhD,Director of Data Science,16,200000,24
34,Male,Master's Degree,Data Analyst,8,100000,12
24,Female,Bachelor's Degree,Software Developer,2,55000,6.6
36,Male,PhD,Senior Data Scientist,12,170000,20.4
30,Female,Bachelor's Degree,Software Engineer,5,90000,10.8
29,Male,Bachelor's Degree,Front End Developer,4,80000,9.6
42,Male,Master's Degree,Product Manager,14,180000,21.6
26,Male,Bachelor's Degree,Software Developer,2,60000,7.2
35,Female,Master's Degree,Data Analyst,9,120000,14.4
27,Female,Bachelor's Degree,Software Engineer,3,70000,8.4
48,Male,PhD,Director of Data Science,18,210000,25.2
34,Male,Master's Degree,Data Scientist,9,140000,16.8
23,Female,Bachelor's Degree,Software Engineer,1,50000,6
34,Female,Bachelor's Degree,Full Stack Engineer,8,122485,14.6982
25,Male,PhD,Software Engineer Manager,12,169159,20.29908
43,Male,Master's Degree,Senior Software Engineer,21,187081,22.44972
53,Other,High School,Senior Project Engineer,31,166109,19.93308
27,Female,Master's Degree,Front end Developer,5,78354,9.40248
25,Male,Bachelor's Degree,Back end Developer,2,90249,10.82988
29,Female,Master's Degree,Senior Software Engineer,6,132720,15.9264
52,Male,PhD,Software Engineer Manager,23,161568,19.38816
41,Male,Master's Degree,Front end Developer,13,127346,15.28152
49,Female,Bachelor's Degree,Back end Developer,19,120177,14.42124
25,Other,High School,Full Stack Engineer,2,69032,8.28384
35,Male,Master's Degree,Senior Project Engineer,8,101332,12.15984
57,Female,PhD,Full Stack Engineer,30,121450,14.574
35,Female,Bachelor's Degree,Senior Project Engineer,12,166375,19.965
43,Male,Master's Degree,Senior Software Engineer,21,185119,22.21428
37,Female,Bachelor's Degree,Full Stack Engineer,10,149217,17.90604
50,Male,Master's Degree,Software Engineer Manager,21,166512,19.98144
52,Female,Master's Degree,Senior Software Engineer,28,186963,22.43556
26,Male,Bachelor's Degree,Back end Developer,3,75072,9.00864
34,Female,Master's Degree,Full Stack Engineer,10,163398,19.60776
30,Male,High School,Senior Project Engineer,11,103947,12.47364
60,Female,PhD,Software Engineer Manager,33,179180,21.5016
50,Male,Bachelor's Degree,Back end Developer,23,175966,21.11592
58,Male,Master's Degree,Senior Software Engineer,27,190004,22.80048
35,Female,Master's Degree,Full Stack Engineer,10,152039,18.24468
28,Male,Master's Degree,Front end Developer,5,76742,9.20904
57,Female,PhD,Software Engineer Manager,33,191790,23.0148
46,Female,Bachelor's Degree,Senior Software Engineer,20,139398,16.72776
28,Male,High School,Back end Developer,7,95845,11.5014
34,Male,Master's Degree,Full Stack Engineer,12,160976,19.31712
33,Female,Master's Degree,Senior Project Engineer,9,126753,15.21036
37,Other,Master's Degree,Full Stack Engineer,14,161393,19.36716
33,Male,Master's Degree,Senior Software Engineer,8,139817,16.77804
53,Male,PhD,Software Engineer Manager,25,181714,21.80568
35,Female,Bachelor's Degree,Back end Developer,10,114776,13.77312
30,Male,Master's Degree,Full Stack Engineer,6,105725,12.687
24,Female,High School,Senior Project Engineer,1,52731,6.32772
36,Male,Master's Degree,Front end Developer,8,106492,12.77904
27,Female,Bachelor's Degree,Full Stack Engineer,4,73895,8.8674
23,Male,PhD,Software Engineer Manager,1,119836,14.38032
